1000 5000
Buscoldo Onè 457.47
SamMarino SanSevero 748.43
Genzone Pontelatone 1230.51
Mercatale-SanQuirico SanGiorio 850.99
Carrodano Triggiano 3087.47
Pederiva Portalbera 493.81
Gravellona Merano 801.32
Cuggiono DonniciInferiore 2910.96
Ambivere SanNazario 651.85
Torregrotta Valfenera 2928.5
Lasino SettimoMilanese 813.51
Acri MugnanoDiNapoli 880.7
Montiglio Viale 10.58
CampolongoAlTorre-Cavenzano Leonessa 885.86
Campospinoso CaramanicoTerme 718.44
Campodarsego Vita 650.93
LequioBerria LugagnanoValD'Arda 178.48
Azzone Casto 131.89
Offanengo Treviglio 34.84
Ballabio Quassolo 630.35
Imposte Nerviano 1725.07
Povegliano TorreDelGreco 663.41
Bentivoglio Colturano 745.02
Fallo Pabillonis 710.57
Forano Madignano 1138.6
Cappelletta ConcordiaSullaSecchia 48.84
Mercallo MontepulcianoStazione 1488.45
Bandito Sant'EgidioAllaVibrata 2212.96
Ayas VolpagoDelMontello 647.16
CascinaElisa Crognaleto 2314.77
Acerra BadiaPolesine 1262.01
Carsoli CastiglioneOlona 1373.53
Amato SanGiuseppeLePrata-Cotropagno 321.18
ColleCampano-Scrima Foggia 819.82
CaseNuove Porto 886.22
Lessona Venturina 1424.48
StellaCilento Tettorosso 1426.15
Palagianello Pradamano 1542.03
Sestola Sforzacosta 797.83
Gragnano Montefiascone 317.12
Imposte Scheggino 189.86
Casteggio VillaFontana 337.25
Cunettone-Villa Trevenzuolo 204.89
Roncone SanGiorgioInSalici 87.89
Civezza DonniciInferiore 1308.55
Fragagnano SanGabriele-Mondonuovo 1772.61
Civezza Silea 1289.74
Marcallo Sospiro 310.99
Casto ConcordiaSullaSecchia 80.03
MonteleoneDiPuglia SanMauroDiSaline 1613.26
Maccagno NizzaMillefonti 540.64
Beinette Campochiesa 265.58
Montechiarugolo Prizzi 3124.69
Montefusco Monzambano 1929.55
Calvignasco CastiglioneD'Orcia 1417.55
Bucine Sant'ArcangeloTrimonte 324.89
BelvedereSpinello Grosseto 2626.21
Bessude CasalPalocco 668.89
Bolotana BorgoDiTerzo 1093.6
Follina MonasteroloCasotto 1147.74
Cosniga-Zoppè SantaMariaNavarrese 464.74
Valenza Vervio 874.59
FabroScalo Progresso 147.44
CollaltoSabino TorreDe'Picenardi 426.55
GricignanoDiAversa PiazzaBrembana 2781.29
CerroTanaro Muros 852.95
Ardesio SantaBrigida 109.22
Bertiolo IsolaDelleFemmine 2649.95
Ripi Rogolo 1965.7
ContessaEntellina PiazzaBrembana 1429.77
Rogolo Saint-Christophe 348.15
SamMarino Troia 1517.06
CerretoLaziale Fontanella 502.05
Gosaldo NizzaMillefonti 1097.46
FaggetoLario Palizzi 3371.81
CuraCarpignano Valenza 102.86
Curinga SanTerenzo 3626.27
Alife CasaleCorteCerro 1106.85
Erbezzo SanNazzaro 1301.37
CasalCermelli Vistarino 52.24
Broccostella Catenanuova 1041.24
BorgoDiTerzo PalmaDiMontechiaro 2178.61
Settala StellaCilento 3084.03
Gragnano SelvaDeiMolini 422.39
Piea Ripi 2053.04
Confienza Ponzano 504.12
Melpignano Pompei 1492.5
CountryPark SanLuca 738.49
Cassacco Paladina 1471.68
Boretto Braies 657.4
Brienza SanLorenzoDiSebato 3162.77
Campochiesa SolignanoNuovo 1119.44
Brienza Monteviale 676.07
Grugliasco PettorazzaGrimani 1471.21
Paladina SantoStefanoRoero 456.18
Assemini SanPietro 582.1
ColleCampano-Scrima Noto 750.14
Berzantina ColleCampano-Scrima 284.83
Afragola Bergeggi 2563.89
SambucaDiSicilia VillaCarcina 3591.83
Anela MornicoLosana 516.32
Montegranaro OrioAlSerio 1481.86
Latiano PozzuoloMartesana 3157.83
FontanetoD'Agogna SanSosti 1162.79
MezzanaRabattone Roccabianca 346.45
Baraggia Padru 1171.44
Sforzacosta TonezzaDelCimone 886.57
Progresso Sant'ArcangeloTrimonte 316.63
Folignano Perledo 1808.63
CasamicciolaTerme Pianoconte 814.42
Corniglio SantaMariaImbaro 1165.02
