30 83
Cormano Murello 186.66
Momperone SanGiovanniValdarno 366.83
CastiglioneFalletto LeForna 1369.46
Caponago Casalbeltrame 71.18
Ceriana Pietravairano 1218.79
Sovramonte Valcanneto 420.72
Gorlago Sovramonte 131.66
Momperone Murello 106.27
Pocapaglia Sovramonte 333.59
Gambolò Momperone 95.89
Aymavilles Ucria 2093.9
Aquileia LeForna 832.99
Desulo Selvatelle 395.28
Ceriana Nocara 1619.63
Aquileia Caponago 770.87
CastellammareDelGolfo CastiglioneFalletto 1255.27
CastiglioneFalletto SanGiovanniValdarno 791.26
Momperone Selvatelle 408.39
Valcanneto ValleSanBartolomeo 554.34
Pocapaglia Vendrogno 237.29
Pietravairano Vendrogno 384.16
SelvaDeiMolini Selvatelle 415.82
Aymavilles Pietravairano 1340.98
CastellammareDelGolfo SelvaDeiMolini 742.8
Murello ValleSanBartolomeo 120.94
CastiglioneFalletto Desulo 642.11
CastiglioneFalletto Murello 56.86
Brovello-Carpugnino Tramonti 1141.86
Murello Sant'AngeloLeFratte 1168.1
Casalbeltrame Selvatelle 338.28
Pietravairano Pocapaglia 597.36
Gorlago Petronà 1613.8
Desulo Petronà 1666.45
Pietravairano Sant'AngeloLeFratte 267.08
Gorlago Momperone 134.04
LeForna Murello 721.73
CastiglioneFalletto Pinzolo 559.43
Desulo Sovramonte 401.55
Aymavilles LeForna 1256.32
Caponago LeForna 1001.75
Gorlago Valcanneto 344.95
Gorlago Ucria 980.83
Murello SelvaDeiMolini 415.21
Selvatelle Tramonti 903.77
Cormano Ucria 1654.48
Aymavilles Tramonti 950.44
Gambolò LeForna 847.43
Desulo Ucria 1242.5
Nocara Sant'AngeloLeFratte 57.49
Brovello-Carpugnino Ucria 1658.61
Aquileia Ceriana 1134.56
Pocapaglia SelvaDeiMolini 526.68
Momperone Pocapaglia 150.95
Brovello-Carpugnino CastiglioneFalletto 267.54
Nocara Valcanneto 750.91
Petronà Pinzolo 1751.74
Gorlago Nocara 1747.23
Pocapaglia SanGiovanniValdarno 698.7
Brovello-Carpugnino Sant'AngeloLeFratte 1661.15
LeForna Petronà 677.25
Pinzolo ValleSanBartolomeo 453.29
Aymavilles Pinzolo 216.33
Aquileia Vendrogno 587.64
Aymavilles Cormano 248.06
Brovello-Carpugnino Valcanneto 586.92
Cormano LeForna 949.7
CastellammareDelGolfo Vendrogno 1805.14
Pinzolo Valcanneto 388.81
Tramonti ValleSanBartolomeo 582.26
Desulo SelvaDeiMolini 1230.47
CastellammareDelGolfo Gambolò 1134.87
Murello Pocapaglia 35.9
Desulo Pietravairano 998.6
Aymavilles Petronà 2556.76
Aquileia Sant'AngeloLeFratte 519.79
Murello Petronà 1264.22
Brovello-Carpugnino Pietravairano 410.69
SelvaDeiMolini ValleSanBartolomeo 739.19
LeForna SelvaDeiMolini 742.29
Casalbeltrame CastiglioneFalletto 67.82
LeForna ValleSanBartolomeo 1078.83
Caponago Sovramonte 368.27
Gorlago Murello 280.04
PARTENZA Vendrogno
DESTINAZIONE Ceriana
TAPPE
Pietravairano
Sovramonte
AGGIORNAMENTI
Pietravairano Sovramonte 520.13
Pietravairano Sovramonte 313.56
Pietravairano Sovramonte 769.29
Pietravairano Sovramonte 297.84
Sovramonte Pietravairano 338.11
Sovramonte Pietravairano 600.74
Sovramonte Pietravairano 834.34
Sovramonte Pietravairano 470.24
Sovramonte Pietravairano 789.62
Pietravairano Sovramonte 427.89
Sovramonte Pietravairano 990.31
Pietravairano Sovramonte 673.32
